title,artist,album,isrc,upc,spotify_url,local_path,filename
Connected to life,Excavationpro,instrumentals,QZ-S64-23-26301,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\19\instrumentals\Connected to life QZS642326301.wav,Connected to life QZS642326301.wav
Natural Hippy,Excavationpro,Done,QZ-S64-23-27544,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\21\Instrumentals\Done\Natural Hippy QZS642327544.wav,Natural Hippy QZS642327544.wav
Sabonita,Excavationpro,Done,QZ-S64-23-29443,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\25\instrumental\Done\Sabonita QZS642329443.wav,Sabonita QZS642329443.wav
Buzzy Baraka,Excavationpro,Done,QZ-S64-23-29797,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\25\instrumental\Done\Buzzy Baraka QZS642329797.wav,Buzzy Baraka QZS642329797.wav
Burn it Down Instrumental,Excavationpro,Done,QZ-S64-23-29939,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\21\instrumental\Done\Burn it Down Instrumental QZS642329939.wav,Burn it Down Instrumental QZS642329939.wav
Organic Skunk,Excavationpro,Instrumentals,QZ-S64-23-32719,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\27\Instrumentals\Organic Skunk QZS642332719.wav,Organic Skunk QZS642332719.wav
Soul Sold Separate,Excavationpro,Instrumentals,QZ-S64-23-33047,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\27\Instrumentals\Soul Sold Separate QZS642333047.wav,Soul Sold Separate QZS642333047.wav
Crashing into Heaven,Excavationpro,Done,QZ-S64-23-40841,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\21\Instrumentals\Done\Crashing into Heaven QZS642340841.wav,Crashing into Heaven QZS642340841.wav
Chaos 2023,Excavationpro,Done,QZ-S64-23-54557,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\28\instrumentals\Done\Chaos 2023 QZS642354557.wav,Chaos 2023 QZS642354557.wav
Uncle Deadly Freestyle,Excavationpro,Done,QZ-S64-23-54762,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\30\Vocals\Done\Uncle Deadly Freestyle QZS642354762.wav,Uncle Deadly Freestyle QZS642354762.wav
